final_word_corpus,satisfied
played video games years brings back old days ps playing call duty know phone could handle type game fallen back playing least daily controls little funny get used easy amazed still pull k <d session game mode battle royale sweet intimidated first become favorite,1
game amazing recently started facing serious problem completely unable enter game forgot create account saving progression issue erased everything game even happens clean good internet connection set system continously alerts saying timeout checked reviews seems like many players situation pls fix asap,1
game good overall however mp feels like get much dsync point matter get cover time would die anyway enemies pov br another story enemies half time dont even render playing low graphics help either oh dont change graphics quality settings yeh let make changes lock one specific option atleast let play br fps,1
favorite game phone couple things game many load screens affects playability want get next game skip screens get match results kind frustrating lag sometimes makes impossible play trying find something complain able justify star fell like something small game missing lacking fun exiting experience,1
awesome fun bad thing large file phone whatever takes alot space worth though really enjoyed downloaded missing times shots correct example say shoot person times says head shot time complaint buying items way expensive alot items cost much,1
overall excellent good playing console probably best fps app phone gripes needs maps especially classic popular ones sideshow ruins give us campaign mode also takes much storage space still crashes often option later get skins want exchange skins want new ones,1
fun graphics overall performance smooth controls easy get hang fully customize suit playing style voice chat frustrating keep disabled almost games sound gets duplicated someone annoying music playing background,1
great love problem glitching rarely happens makes hard play got penalized leaving game never left glitching deducted points tried going help way speak bringing hope true support line fix glitching happens rarely causes get penalized frustrating otherwise would given star,1
game amazing earlier issue resolved immediately due self stupidity customization guns fun love rotating meta weapons season wish less loadouts like make one never use takes space would minor change would help others bit,1
great game overall would like couple improvements would love zombies return maps kino five would also love headquarters like hardpoint team gains control get killed must wait team regains control area adds extra layer excitement especially one player tasked defend much possible team please consider,1
awesome game gameplay mechanics excellent two problems game one game properly optimized gb ram phones especially battle royale second problem started recently would timeout whenever log account whenever touch anything main menu would say waiting game really enjoyable play,1
freaking phenomenal mate graphics point button layout easy think overall excellent mobile game thing would ask fix would definitely laging beginning match know happening every time count lag good seconds allows enemy get head start get good position yeah keep good work great game love approval,1
game lot storage bad people play game cause much storage thank making call duty game love much please make realistic cause shoot bleed shoot rpg shoot someone lose players hands legs face please make realistic next season comes,1
love game playing since launch operator skills added spices make gameplay challenging coz never know enemy skills surprise since last season issue lags glitches game looses connection server critical time fierce team fight last zone hear nearby footsteps though shown map get back late please look thanks cheers,1
game good graphics gameplay super awesome variety multiplayer modes think kind story mode multiplayer form story different missions rewards levels guys also make sort creative mode need make base fight zombies match games fortnite pubg free fire others good game overall would love play,1
really like game many options play many maps overall really fun play personally would like classic weapons like marksman rifles edit gotten love satisfaction single shot headshot cracking ope barrel makes game twice good bad day would strongly recommend even people tactical shooters still horse around fun,1
exciting game excellent player base even people need deodorant still make new fun challenging experience terms free items worth effort alongside payed purchases regardless season game comes terms mobile competition may sound overzealous trust since call duty world war kid cannot stress awesome game,1
love game spend money odds getting good weapon slim make purchase everything else first purchase battle pass get good things beginning even middle near end get anything want purchase additional pass fair review stated matchmaking exactly fair really include skill level well aside fun addicting,1
game terms high octane action awesome lots wild firefights close escapes helicopter however riddled bugs especially br make frustrating fun game overall super competitive still many one bugs make frustrating difficult play really know damage calculating works sometimes doesnt seems increase real players lately matches though nice,1
editing review season update give one star hopefully change back however play controller update season made controller unusable get connect issue mapping buttons button pressed corelate course use third party software correct even temporarily fixed even care,1
excellent game good graphics dislikes likes dislikes time delay drawing weapon firing occasional game crashing week every couple weeks cost upgrades seasonal players etc likes great graphics interesting unique maps solid gun varieties accessories sound effects goliath theme song cool,1
bots annoying af ruin experience opinion get rid certain level mp level completely unless team serving purpose running circles aiming properly shooting furthermore sure one experiences shooting right eliminating someone screen toggles randomly stop working frozen able move shoot,1
rank matches bad unfair random people lose mvp top still even players left kills still give deduction earning really randomized mostly making really frustrating getting skills match rare team full skill full newbies also unfair remove bots add back old zombies new zombies,1
game great amazing like battle royal much im huge fan zombie issues like low end devices play really fun game low graphics one new zombie mode good classic one championships trash game make teams win championship cod points one played people played fun themes good old season themes wonderful hope read,1
words love cod mobile best game favorite games play store love love love would add joy new update comes additional changes like difficult figure direction enemy hitting direction position bit visible may mini map would fun also talking making easy cheer wink_face would fun without difficulty,1
giving stars bug karambit shipwreck use skin animation completely bugged tried everything fix work also loading screen bug already got past spamming back navigation button pressing cancel exit game popup please fix karambit bug really pissing though free play player,0
love best game app ever seems others slight problems phone runs game perfectly sony xperia paying better disagree ever purchased one battle pass play enough pays want special weapons option buy want need used weapons awarded great playing managed score kills games great,1
great game last update serious glitches br mode game either crashes freezes gets loop correct also way expensive try get good weapons update items purchased store often also old tired items overall fun gameplay,1
never usually get fps mobile games due one dimensional however cod mobile probably best one played far various modes play top runs smoothly graphics good depending settings play however overall gameplay depend wifi effect gameplay update gameplay still good constant downloading updating new designs necessary,1
really like graphicsand audio good however want look good want legendary mythical skins need pay money though honestly gets easy cool_face ok months review getting really boring sleepy_face getting better honestly like flow periods time everyone using smg changes everyone using ar means gotta adapt changes happen overall good,1
playing since release love graphics amazing even phones upgraded gaming controls extensive easily understood well setting bugs cheaters course good multiplayer games worth anything given options win skins guns etc easily attainable put time wish bring back zombies like console versions recommended,1
best fps experience get mobile controls simple cover entire display customise well graphics great would nice could get update run hz higher graphics settings since currently caps medium would like ranked playlist friendly solo players bringing back solo player protection would good playing game years glad see stopped getting better,1
game crashes every second game time pretty decent phone handle game fine tried clearing cache emptying storage changing graphics lowest settings game crashes uninstalled intsalled gb game hoping would help whaddya know keeps crashes shuts worst possible times rating star till get sort fix,1
game worth playing even mobile game around couple years still got tons players great graphics new updates patches seasons full crazy cool stuff unlock even type person want spend money customization unlockables roof freedom room experimentation expansive gamemodes fun interesting around great game,1
untill recent updates gaming experience fun balanced best fps ever new release opposing teams flying place speed difficult aim great phone high speed fiber net still able shoot supersonic opponents something correct get game need go minimum screens frustrating,1
great game honestly playing almost year received problem log load account load screen starting game keeps saying timeout finishing load also says update error start game wifi connected nothing wrong network speed way could assistance please,1
amazing game think game storage optimization could better takes lots storage also think pve co op single player modes switch things bit also think thr game menus could cleaned visually improved menus look clutterred many small buttons look clean also think ground war permanent amazing game edit also think custom profile picture option,1
cool game playing almost year one annoying things found game bots especially end br totally unnecessary blow cover sometimes interfere fight teams creat distraction ruin fun everyone thing need taken certain time round maybe somewhere mid near end,1
great game love two issues keeps throwing matches already half way time get mvp lot kills makes history look bad select map want go stuck random still end playing crash times row annoying,1
best game ever according get kind graphics mobile game modes mp br also play friends including private matches ever mode want requires little bit space wifi games,1
game really good one time last update purchasing premium pass seems like minutes game keeps shutting go back get penalized downloading game even get past credits waiting weeks fix hope something would like start playing game pass runs,1
amazing game kinda addicting alright gotten many likes dislikes let start dislikes dislikes match gunfight start st round guns load screen lags bad new map likes variety guns realisticness trains eye contacts enemy shooting great aims bad game go practice sessions headshots bloodthirsty comments,1
last update game complete garbage either supremacy opponents get shot hit show opponents screen like retarded person shooting way seeing comming use sending feedback reporting bugs suggesting solutions good time playing ground war though gonna thank took way pay penny fun pockets,0
nearly perfect graphics great controls great game awesome absolutely love problem zombies please bring back classic zombies leave zombies perfect want also cool classic zombies maps battle royale mode great multiplayer mode awesome also like bo multiplayer maps like redwood black ops nuketown thanks great cod game,1
adjusting one star new updates suck never much good skill based matchmaking either complete apk lobbies games straight getting demolished soon touch ground constantly placed solo quads really annoying fully plated using gun completely maxed way die shots right dump enemy paid skin game may free definitely pay win,0
game amazing immersive competition mode allows mobile rank player enjoy time one issue though amount people leave game disconnect later higher ranks tends get agitating leads disadvantage still tend lose points even well game well developed meta takes game serious manner though,1
liked game much brilliant game started game storage downloaded hd resource pack later downloaded said restart enter match see improved graphics tried graphics please fix issue graphics good game matter lot uses lot internet delete,1
say please bring back old graphics settings since update gaming experience ruined new graphics preference downloaded resources nothing didnt change anything update full bugs glitches audio br messed cant hear vehicles going nearby enemies invisible appear dont fix issue soon people stop playing game getting annoying,1
amazing game good graphics easy controls multitudes weapons tech weapons amazing maps including nuketown campers given fps game get right weapon skilled enough able dominate battlefield problem option connect controller makes little unfair controller gives control shooting moving,1
game wonderfully made beautifully designed thought went map layouts nothing short genius really gives one freedom get creative evasive assault movements cod gameplay others come close replicating fall short crashing lagging problems whatsoever decent phone stable internet wanted years thank lots,1
new season really made disappointed amount bugs absurd main problem open game login screen stuck loading screen seconds minute says loading timeout login account play damn game problem fixed would probably give star review,0
game awesome definitely call duty fan best game ever would highly recommend even get free stuff often events also could please fix constant lags occurring recent seasons also please optimize battle royale choppy matches random ping spikes please fix issues,1
great killer game top line graphics different options game modes realistic images neither poor image makes look cheap like shooting games tend business makes wonder hell manage put garbage market waste time space messing games stop wasting time get download today promise love call duty guarantee jr,1
best shooter game available mobile lag bugs glicthes absolutely astonishing graphics advantage players controllers players mobile use finger claw layout players tablets even use finger layout simple controls contribute complex techniques simply best fps market favourite mobile game,1
okay game awesome graphics awesome even low end devices fps work well weapons constantly balanced every season balance changes weapon powerful long huge updates every month could hassle always new content weapon added season game never feels outdated simply one best games,1
game quite nice offering different game modes including battle royale download something separately stuff however serious less weapon backpack camos mean right blood stained melee gun kinda nose art awfully designed camos actually awful since exist take noticeable part memory altogether rather evil addition unskippable loading screens every start,1
love game playing life playing ranked hole server freezes leave cause un freeze stuck spectating person killed top get points taken away five minute band ranked matches bad rather annoying still top quality provides stellar amount entertainment stars,1
love game playing two years keep continuing play crazy loyal brand however last two updates made game really slow even right trying play last couple days giving one error another currently game even opening sorts reasons small issues fixed perfect game,1
playing game long time controls graphics good main issue storage game download play store game around gb start multiple downloads size game goes gb gb pls try compress game little people could play game lag free another issue game crashes sometimes frustrating,1
great game random draws items progresively expensive draw absurd draws get expensive could buy full price console game time get skin weapon want id rather buy item separately random draws consistent price love everything game except gamble mechanic,1
find game fun play friends added gunsmith game became competitive except guns kar dhr really good maps load good ranked lot fun playing friends however game take insane amount space finding lobby take bit work time also constant redownloading resources data play take min good internet,1
overall great game playing since came absolutely love would recommend game people friends got addicted well two negatives advice creators old zombies need come back new great br better adrenalines super armour,1
game solid ton weapons keep growing tons people clean controls customizable graphics maps great realistic scopes buy anything good game skill base pay win game,1
back love hate relationship game fun casual game per say however decisions behind public ranked matches matchmade human bots confuses game seems optimized high low end phones released time game released older newer phones seem optimization issues barely runs game someone played since release continue play cannot,1
fun real experience awesome audios cool guns skins though things need improved like heavy network storage needed also best thing modes mp eg hardpoint v duel snipers drop zone etc modes br also innovative maps mp innovative maps br makes pretty creative overall give glowing_star thank,1
fun game fair matchmaking pay win graphics gameplay awesome lots action balance guns good fun see people like weapon negative point game huge takes lot space device always space issues every update game starts clogged much stuff many characters weapons classes operator skills makes downloading long problematic update,1
simply great cod experience go way much cod gold maps weapons makes even better fans edit huge issue hackers get pro ranked though sweats others obviously hacking seems pay win involving guns also servers cause die one shot yet reality killcam shooting good bit pretty much unplayable ranked matches,1
full bugs poor optimization random freezes fps drops sounds glitching time constant messing around sensitivities hip firing settings every patch movement made stiff battle royale feel may delete game momment seem care pushing new skins cosmetics fixing bugs cause poor gaming experience edit lot previous issues fixed still needs lot optimization br,1
absolutely love game playing maybe two years buy anything taken build skills know never good top players think concidering spend money one thing though got two players one fb one guest pick one want play always starts last one unless game crashes choose would like choose game starts,1
pretty fun game top country almost week customizable control layouts weapons ect updates always big often need space updates burn data time open game,1
game amazing issue draws crates ends expensive get item want maybe make cheaper maybe lower price per draw insane spent last draw goes crates since based luck thats insane cp prices fine draws crates need fixed coupons really nice fp overall game great enjoying keep good work devs,1
mechanics great feels like true cod playing months noticed updates breaking gigabyte top initial gb download approximately curious updates merge game call duty app soon gb either way constant addition content awesome,1
adding everything costs gain game become expensive lacks new fields play true game play fact person kill opponent one shot knife boxing gloves takes several shots guns absurd separate make realistic mythic guns far outfits helmets gear virtually unavailable offers purchase gear create look offered,1
best game ever according get kind graphics mobile game modes mp br also play friends including private matches ever mode want requires little bit space wifi games,1
game great early stages seems next content spent time recently collecting new skins less time actually playing simply enormous amount additional armory ads try make purchase cod coins actual game playability dropped right matches seem glitchy thing works well payment system always let purchase,1
best fps experience get mobile controls simple cover entire display customise well graphics great would nice could get update run hz higher graphics settings since currently caps medium would like ranked playlist friendly solo players bringing back solo player protection would good playing game years glad see stopped getting better,1
brilliant game excitement xbox love ads easy log start match problems new season every month amazing music score always love whoever makes music totally original score btw amazing please keep posting music behind scenes yt game works perfect lag playing ages overall smooth gameplay great community apart every player met friendly amazing day age,1
literally best game ever great graphics gameplay point much choose keeps toes different missions targets look forward rewarded good play play nothing else thing dislike campers ruin game laughing_face,1
stars issues crashing stopped worry good enough compete great game crashing booting game play android almost months old still fix getting old like playing game crash every game game randomness crash safe spot crash shot world wide drinking game soon,1
hello would love see rd person team death match classes infinite plates would great warm ups sharpening skills like game br training area would great battle royal beginners know mp mode practice mode st person also would great players could save multiple button layouts sometimes want try something new without tampering current setup,1
love game cmon upgrade update something every time soo annoying fact choice wana play game problem creativity graphics updates wish downloading optional wild dogs version pushed deleting game altogether phone cant handle food thought,0
nice game great graphics stuff really love playing call duty year recently changed device could play able play time log show timeout know show one two times ok prob please try check issue really love game great thumbs_up 🏻,0
stop playing cheer cheer excitement excitement awkward amazing activision gaming industry especially new update kudos personally agree alot people memory connection subject ultimately realized really mind honestly hardly use phone anything else make sure transfer everything need phone external hard drive apart give game glowing_star flagship devices course,1
really nice game billion wepon combos super real graphics one problem space takes know able download new season maybe space mabe glitch overall op game definitely worth try many game modes every weekend v game mode battle royale justy favvvv,1
controls good sensitivity superb lags sometimes fine shifted free fire cod significant difference botht games graphics good even low customise settings according comfort marvelous game want favour pls try make matchmaking bit balanced allow people leave ranked matches people come leave frustrating times,1
made review game december check edit history fixed moving bug talking think lowered price cp saying improved since gigantic problem storage takes phone currently taking gb like crazy even downloaded everything downloaded rest would prob like gb stars joined,1
game really fun interactive real playing experience auto shoot particularly good considering mobile game thing would improve start feels tacky going stage setting remind many mobile shooting games end really bad downgrading star frustrating download big files almost every time log onto app,1
fun times plagued game breaking bugs sometimes middle match phone lock without turning screen disables inputs requires toggle screen also many issues controller compatibility framerate much heck forced join ranked match even know controls working,1
game changed mobile gaming play friends everyday draws crates bp etc decent better graphics good adjustable settings controls great lag overheat often change something maybe put unlockable skins camps certain weapons kn etc also maybe look things guns like ballista sniper rifle call duty black ops overall stars keep devs,1
probelms lose xp ranked loose internet connection annoying must fixed many times ping rise cause bullets register including desync lag delay timing defuse plant buttons cancel randomly overall good app ms reaching lots annoying problems,1
awesome game play graphics gameplay free goes long way cost extras inturns rips customers drop rates cost extras worth big take away enjoy gameplay doubt moblie net worth million dollars drop rates cost choice prices go one item actual game use stop ripping loyal gamers legitimate pricing thank,1
experience grafics guns skins popularity amazing original cod maps make game much fun would like want get cool skins would rather buy cod points plus tax want wasting money spins worth better get plus tax gives enough cod points get premium version battle pass original battle pass gives extr,1
game overall best playing mobile version one years never disappoints super fun addicting lately faced problem cannot get game everytime try shows screen message sorry error google play download pls make sure youre connected stable network try later ive tried later wifi perfectly fine yet still shows fine,1
best mobile fps game played however fact updates huge concerning especially mobile game mention download gun skins player models maps top adds lot especially need use cell data like currently also fact practically gamble try get something really wanted could add careful stick season pass stuff bother draw stuff,1
awesome graphics high competition around world way better pubg surprise_face hey codm would like request us phone users could enable option delete non essential files example updating game ever since downloaded consumed gb space would awesome game installing updates delete files much space used thank,1
playing years love absolute blast high quality graphics fun games challenges always changing meet new friends play made many changes improve overall game play game quality many issues years ago hardly would highly recommend anyone downside game takes ton space,1
best tablet opinion intensity action helped nerves hone perception skills know mouse moves try catch nerves start jump think grab mouse also take advantage google play points adding team work bonuses freebies happy swat team arsenal,1
best game ever played getting point play every day love graphics gameplay almost weapons pharo hater thought wish good old zombie mode comes back also even tho thermal scope arctic battle royale wish thermal multiplayer still one greatest games,1
going start amazing fun game play although bugs glitches need fixed ping seems continuous issue lot people maybe way fix developer one thing like purchase whole lucky draw costs usd crazy least buy full games console half price expensive worth think reasonable price,1
playing game since years lately become unplayable ranked particular become laggy annoying hell everybody developers focus fixing basics like lag issues rather adding maps modes seasons etc making game heavy resource intensive season dissapointed,0
bet great game lol could actually get past loading screen literally crashes loading screen every time could rate lower would trying hours get work better update got work trying get controller work sometimes times register app upside face,1
looking kind console lvl fps along time finally found time stopped playing haha great game really would give five stars small issue beginning annoy game keeps stopping magical reason lol luckily mid game like changing loadout character forced keep restarting game please fix,1
good game need work like add items guns fun like call duty games pc game consoles always thought black ops know sure may part modern warfare series cool told us black ops modern warfare,1
literally best mobile shooter game yet absolutely love graphics beefy phone play ultra settings fps thing takes gb storage total fine gb anyway love customization different modes play friends best free love activision keep amazing work think could add building options,1
glitches time time fixed updated normal game play suppose aim gun directly opponent nothing happens except gun shooting bad juju whoever charge oh give better option pistol coming back revival flight kinda hard land war zone pea shooter,1
glad hear want part snowboards slow understand starting one grappling hook upgrade go back three battle royale would cool towards end match turned night time add suspense finally zombies awful nights gather supplies base nuke wipes something teleporter make sense frankly super boring,1
probably one best mobile games right excellent gameplay graphics comparable console versions game paywin unlike many mobile games around moment couple cons think game pairs mostly bots first start playing opinion menus could little simple overall impressed,1
good game overall think favorite one mobile platform mostly play multilayer mode battle royal challenging play ranked frustrating always switch relaxed public match things could really help player base grow always available alcatraz map first generation zombie mode kind prestiege system posible cp rewards otherwise contentfull game,1
love hate relationship great game love tough matches win lose matches get killed every seconds even hit player first players literally come walls move super fast hat make frustrating putting super easy games barely make effort still mvp,1
says small app lies install app much download want full effects able play friends good internet also forget enjoy game fun interactive big people update newest features left past,1
please help whenever try play game issue pops please prohibit using third party plug ins ive tried solve issue youtube tutorials nothing helped far try click help button nothing comes might lag game pretty good would give stars instructions fix issue,1
play alot problem killcam inaccurate times always show also nice new maps every multiplayer would interesting bot survival mode hordes bots difficulty keeps rising every round come squad players since best zombies game mode last left interesting zombies mode however glowing_star mp br game modes,1
love game favorite fps game found mobile biggest issue loading sooooo much days download characters weapons skins pretty much everything much download everything crazy data every time new season drops update redownload everything drove away like say stock around time games coming promise,1
game great problem way department far concerned game fills spots needed many player types always something new add games fun keep playing however stuck moment download last update gb start game sends screen saying whole new file love character wish continue playing please help concerned player,1
good ask mobile device lags two high ranking players encounter eachother br mode slightly maybe mechanics maybe rigged happens players game end theres top ten runs pretty smooth makes sense enough paid anything still gives lot entertainment still wipe map players get special weapons pay,1
playing game years maximum level never bought anything game however allow anyone bought outfit bought gun somehow invincible matter many times shot lol overall great game one little thing frustrating competitive like excitement,1
good game pay play understand one time decided use feature used able get wanted wish could able worked instead paid think would beneficial able ways unfair afford even said item difficult achieve thank,0
nothing great things say previously unlocked nikto lucky draw ever since gunfire footsteps voice overs everything silent half time aggravating say least caused losses otherwise could prevented sound crucial game please fix issue along doors buildings disappearing occasionally br,1
used great anymore though used play game lot evem unlocked many things like damascus camo would like play game casually every however download several hours worth updates every month lost interest also completely marketed towards children negative hope game one day returns better state know never happen,0
playing months enjoyed every moment playing game playing cod since first always love give try cod definitely worth space hard core games like controls easy use graphics phenomenal always unlocking new things easy daily tasks little daily grind certain game modes attainable keep great work,1
game great take gb someone mobile device much although glitchy fun great game play hard sacrifice storage space phones simply although love played long ways got delete simply storage things run like space left,1
great execution mobile game hook phone ps remote tv feel game like playing console reason stars game partially remote control compatible lobby able controlled remote using touchpad see cursor click action meaning get couch tap way start game match ends fix star game,1
dear activision cod mobile team game perfect ever since update came wich reduced game size also came bug download hd resources game says restart game still like hd resource pack applied case audio pack tried ways uninstalling game clearing cache etc please kindly fix bug soon possible,1
br blackout warfare way better used frame drops freezing dying without even knowing game froze game still drops frames time time much used aside mostly everything great best one attack undead,1
know going moment characters br never seen games br ranked mp impossible win hardcore players things never seen totally dominate games level year win matches play get killed quickly either heap players cheat put matches world best players probably play,0
pay play pay win however gameplay gets worse update graphics nice overall gameplay taken turn worse game gets sluggish update getting point going drop game together fiber g etc sluggish lagging galaxy n,0
playing call duty mobile last years great experience last season facing problem download configuration failed check internet connection whenever open game internet connection excellent really tired seeing please something call duty mobile favorite game want quit,0
game incredibly addictive serious money suck play free buy cod points season get good stuff constantly releasing lucky draws spend cod points take chance something cool problem best stuff less chance dropping end buy points start cost win one item want,1
playing seen issues gun balance still fairly decent blatantly pay win like used certain gun skins locked behind pay walls offer far better iron sights others another major issue removal bot pool lobbies really made sure could fun even bad day well populated lobbies please bring back,1
love game recent update loading screen forever would take maybe sec load game takes minutes almost feels like game hung see like minute fix something wasnt broken,1
best game ever played br best driving controls superb like aiming use gb ram tab runs smooth problem graphics saying graphics worse graphics good low end devices eventhough still graphics better shooting games best game recommend everyone download it🙌🏼,1
game pretty impressive considering amount content disappointed lucky draw system costs actually get star items draws clear legendary items exclusively available specific draws full bundles available console around simply broken marked mobile spent hundreds cod games last year alone courts addressing draw mechanic let us buy bundle,0
definitely best fps game ever seen playstore best graphics almost categories game play shooting warfare driving swimming battle royale multiplayer pvp many cool characters themes awesome overall become favourite mobile game found problems game,1
one best put skills others friends good way kill time graphics great operater skills add spice make things interesting one issue huge size game game overall great,1
fps much better battle royale scope animation slow lots animations needed actually unattached scopes spread field useless please improve ads hip fire movement also please try improve useless animations,1
playing game year recent update season disappointing full glitches importantly facing major problem able enter game keeps loading n loading expeced request developers resolve issue soon possible,0
good game currently facing issues related starting game every time start game always shows download configuration failed already tried every single thing patch network device like patching dns force stopping giving reaccess networks restarting device also tried apn trick nothing seems work also redownloaded game also changed networks tried wifi everything tried results prob,0
game good thing needs fixed perk persistence basically got buff season new point system need useless get rid ruins game work hard scorestreaks noob dies times still gets swarm broken streaks,1
graphics issues inside buildings disappearing doors windows lag spikes everytime battle royal announcer opens mouth freezes game ranked matches lag spikes players click get dog tags button device lags freezes tap hard sets screen rotate mode setting upside reset game fix see last patch many bugs bs ranked matches,0
amazing game issue tdm previously pattern points rating system good seen many players unsatisfied guys fix good thanks,1
keep popping network error stable network let log uninstalled installed downloaded files played bit closing app let log apps working fine network problem disappointed,0
ever since update season wild dogs unable enjoy game interests player developer suggest reverse whatever upgrade done forget continually buff storage size games run time phones remain must necessarily high end thousand dollar devices play game,0
loving game although facing internet related issues connected decent internet battle royale also still talking battle royale matchmaking process unfair remember single time since reaching master faced equal oponents also makes feel like chance improvement always dying gunskill matter hard try,1
google pixel pro game gets stuck loading screen uninstalled installed whole game downloaded extra files lot gigs mobile game still gets stuck loading screen music plays background closing game music still playing,0
game crashing much past two seasons never issue would main menu trying download resources would crash would pre match lobby crash would good kill streak crash uninstalled reinstalled game twice already restarted phone countless times past two major updates extremely unstable please fix,0
much problem new season previous seasons took seconds load almost glitches new season takes lot time load game many glitches thay literally stop playing every game world getting better better latest updates cod getting worse every update shame,0
good game best fps play go really love codm problems ms spikes usually ms randomly lot stuff screen ms spikes ms stays like rest match nd thing price draws like cp wanna spend lucky draw would get spins gonna keep spending cp skin would cost spin make,1
